20:56:23.675 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 53767.0
20:56:23.676 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 41697.0
20:56:23.676 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 33749.0
20:56:23.676 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31697.0
20:56:23.676 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31697.0
20:56:23.676 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30598.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.677 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.678 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.679 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 22346.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21697.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21697.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21492.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21056.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21038.0
20:56:23.680 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20824.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.681 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
20:56:23.682 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
