21:05:25.245 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 63433.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31697.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31004.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.246 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21697.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21056.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21004.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20627.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20584.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
21:05:25.247 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
