20:33:38.855 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30544.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 13641.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 10544.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 10544.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 10544.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 10544.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 10544.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.857 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.858 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.859 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3309.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 2020.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 1926.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 1676.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 1366.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 1032.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 849.0
20:33:38.860 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 849.0
