07:41:21.163 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 1
07:41:21.457 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 8
07:41:21.478 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 14
07:41:21.565 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=62, nrFitIndividuals=27, tournamentSize=5, seed=191, hiddenDimSize=21, mutationProb=0.019693363036701994, populationSize=718}
07:41:22.610 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=16, nrFitIndividuals=53, tournamentSize=36, seed=2167, hiddenDimSize=15, mutationProb=0.7476282736078368, populationSize=164}
07:41:22.985 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 15
07:41:23.022 [Thread-7] INFO  algoGenetico.PopulationEvo - Thread: Thread-7 | Generation no: 1
07:41:23.277 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 2
07:41:23.453 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=13, nrFitIndividuals=50, tournamentSize=42, seed=1420, hiddenDimSize=1, mutationProb=0.9741461531428179, populationSize=302}
07:41:23.698 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 1
07:41:23.807 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 9
07:41:24.275 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 1
07:41:24.656 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 16
07:41:24.879 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 2
07:41:24.959 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 2
07:41:25.722 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Hyperparameters{nrGenerations=4, nrFitIndividuals=157, tournamentSize=104, seed=3439, hiddenDimSize=45, mutationProb=0.7756577539798295, populationSize=674}
07:41:26.201 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 3
07:41:26.372 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 3
07:41:26.390 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 17
07:41:26.570 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 10
07:41:26.980 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Hyperparameters{nrGenerations=48, nrFitIndividuals=46, tournamentSize=21, seed=1428, hiddenDimSize=26, mutationProb=0.7627282827819424, populationSize=101}
07:41:27.168 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Hyperparameters{nrGenerations=5, nrFitIndividuals=174, tournamentSize=36, seed=225, hiddenDimSize=38, mutationProb=0.4027103724122979, populationSize=626}
07:41:27.448 [Thread-10] INFO  algoGenetico.PopulationEvo - Thread: Thread-10 | Generation no: 1
07:41:27.588 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=28, nrFitIndividuals=178, tournamentSize=170, seed=693, hiddenDimSize=17, mutationProb=0.8496728888966757, populationSize=480}
07:41:27.795 [Thread-9] INFO  algoGenetico.PopulationEvo - Thread: Thread-9 | Generation no: 2
07:41:28.244 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 4
07:41:28.597 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 1
07:41:28.764 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 18
07:41:29.181 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 3
07:41:29.339 [Thread-1] INFO  algoGenetico.PopulationEvo - Thread: Thread-1 | Generation no: 2
07:41:29.602 [Thread-18] INFO  algoGenetico.PopulationEvo - Thread: Thread-18 | Generation no: 4
07:41:30.050 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 11
07:41:30.111 [Thread-20] INFO  algoGenetico.PopulationEvo - Thread: Thread-20 | Generation no: 2
07:41:30.158 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 2
07:41:30.461 [Thread-17] INFO  algoGenetico.PopulationEvo - Thread: Thread-17 | Generation no: 5
07:41:30.528 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Hyperparameters{nrGenerations=38, nrFitIndividuals=148, tournamentSize=94, seed=829, hiddenDimSize=44, mutationProb=0.7880022694152097, populationSize=644}
07:41:31.013 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 19
