08:15:51.436 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Hyperparameters{nrGenerations=98, nrFitIndividuals=324, tournamentSize=114, seed=301, hiddenDimSize=1, mutationProb=0.9915810543054453, populationSize=960}
08:15:51.436 [pool-2-thread-5] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-5 | Hyperparameters{nrGenerations=99, nrFitIndividuals=131, tournamentSize=109, seed=301, hiddenDimSize=37, mutationProb=0.4727844149507777, populationSize=264}
08:15:52.116 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Hyperparameters{nrGenerations=93, nrFitIndividuals=114, tournamentSize=5, seed=301, hiddenDimSize=24, mutationProb=0.597713024206448, populationSize=479}
08:15:52.369 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Hyperparameters{nrGenerations=86, nrFitIndividuals=79, tournamentSize=39, seed=301, hiddenDimSize=42, mutationProb=0.10074839866446639, populationSize=381}
08:15:53.031 [pool-2-thread-5] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-5 | Generation no: 1
08:15:53.032 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Generation no: 1
08:15:54.156 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Generation no: 2
08:15:54.235 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Generation no: 1
08:15:54.544 [pool-2-thread-5] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-5 | Generation no: 2
08:15:54.890 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Hyperparameters{nrGenerations=48, nrFitIndividuals=107, tournamentSize=98, seed=301, hiddenDimSize=48, mutationProb=0.42132360573965544, populationSize=676}
08:15:55.143 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Generation no: 1
08:15:55.945 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Generation no: 3
08:15:56.428 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Generation no: 2
08:15:57.179 [pool-2-thread-5] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-5 | Generation no: 3
08:15:57.531 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Generation no: 2
08:15:58.924 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Generation no: 4
08:15:59.515 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Generation no: 3
08:15:59.555 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Generation no: 3
08:16:01.102 [pool-2-thread-5] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-5 | Generation no: 4
08:16:01.567 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Generation no: 4
08:16:01.923 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Generation no: 5
08:16:02.868 [pool-2-thread-4] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-4 | Generation no: 1
08:16:03.228 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Generation no: 4
08:16:03.465 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Generation no: 5
08:16:04.947 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Generation no: 6
08:16:05.025 [pool-2-thread-5] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-5 | Generation no: 5
08:16:05.437 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Generation no: 6
08:16:07.108 [pool-2-thread-1] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-1 | Generation no: 5
08:16:07.334 [pool-2-thread-3] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-3 | Generation no: 7
08:16:08.009 [pool-2-thread-2] INFO  algoGenetico.PopulationEvo - Thread: pool-2-thread-2 | Generation no: 7
