20:45:37.303 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 33641.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 23641.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 13641.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 13641.0
20:45:37.305 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 10602.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.306 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 2983.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 1038.0
20:45:37.307 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 1022.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 1002.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 995.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 849.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 849.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 849.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 662.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 628.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.308 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.309 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.309 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.309 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.309 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
20:45:37.309 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 602.0
