20:33:56.090 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 50683.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30544.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30544.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30544.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 23641.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20425.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 13641.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.092 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.093 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.094 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.094 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.094 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.094 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:33:56.094 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
