23:56:36.288 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=163, nrFitIndividuals=147, tournamentSize=130, seed=3102, hiddenDimSize=30, mutationProb=0.6709176268278179, populationSize=420}
23:56:38.330 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=229, nrFitIndividuals=205, tournamentSize=164, seed=1338, hiddenDimSize=23, mutationProb=0.25762025297199276, populationSize=1040}
23:56:38.919 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 1
23:56:39.852 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=347, nrFitIndividuals=35, tournamentSize=11, seed=3839, hiddenDimSize=31, mutationProb=0.3501259089227604, populationSize=602}
23:56:40.483 [Thread-1] INFO  algoGenetico.PopulationEvo - Thread: Thread-1 | Generation no: 1
23:56:41.460 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 1
23:56:41.495 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=334, nrFitIndividuals=258, tournamentSize=17, seed=1520, hiddenDimSize=21, mutationProb=0.24016582705694778, populationSize=560}
23:56:42.660 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 2
23:56:43.627 [Thread-3] INFO  algoGenetico.PopulationEvo - Thread: Thread-3 | Generation no: 1
23:56:44.461 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=10, nrFitIndividuals=136, tournamentSize=116, seed=5329, hiddenDimSize=38, mutationProb=0.13039943178904656, populationSize=533}
23:56:45.286 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 2
23:56:45.540 [Thread-3] INFO  algoGenetico.PopulationEvo - Thread: Thread-3 | Generation no: 2
23:56:46.649 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 3
23:56:46.901 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=491, nrFitIndividuals=125, tournamentSize=55, seed=1192, hiddenDimSize=37, mutationProb=0.003056436951429986, populationSize=753}
23:56:47.117 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 1
23:56:47.566 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=108, nrFitIndividuals=27, tournamentSize=4, seed=2156, hiddenDimSize=31, mutationProb=0.9130144809676867, populationSize=131}
23:56:48.122 [Thread-3] INFO  algoGenetico.PopulationEvo - Thread: Thread-3 | Generation no: 3
23:56:48.309 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 1
23:56:49.060 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 2
23:56:49.298 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 3
23:56:49.415 [Thread-1] INFO  algoGenetico.PopulationEvo - Thread: Thread-1 | Generation no: 2
23:56:49.605 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 1
23:56:49.794 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 2
23:56:50.096 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 3
23:56:50.965 [Thread-0] INFO  algoGenetico.PopulationEvo - Thread: Thread-0 | Generation no: 4
23:56:51.647 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 4
23:56:52.022 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=381, nrFitIndividuals=392, tournamentSize=291, seed=2121, hiddenDimSize=30, mutationProb=0.5770469003846294, populationSize=897}
23:56:52.133 [Thread-3] INFO  algoGenetico.PopulationEvo - Thread: Thread-3 | Generation no: 4
23:56:52.214 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=98, nrFitIndividuals=53, tournamentSize=5, seed=5498, hiddenDimSize=9, mutationProb=0.11242074075836028, populationSize=180}
23:56:52.333 [Thread-4] INFO  algoGenetico.PopulationEvo - Thread: Thread-4 | Generation no: 3
23:56:52.498 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 1
23:56:52.744 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 2
23:56:52.951 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 3
23:56:53.219 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 4
23:56:53.234 [Thread-2] INFO  algoGenetico.PopulationEvo - Thread: Thread-2 | Generation no: 4
23:56:53.401 [Thread-6] INFO  algoGenetico.PopulationEvo - Thread: Thread-6 | Generation no: 5
23:56:53.431 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 5
23:56:53.455 [main] INFO  algoGenetico.PopulationEvo - Thread: main | Hyperparameters{nrGenerations=292, nrFitIndividuals=66, tournamentSize=51, seed=3197, hiddenDimSize=6, mutationProb=0.9157203494655161, populationSize=679}
23:56:53.842 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 6
23:56:54.053 [Thread-5] INFO  algoGenetico.PopulationEvo - Thread: Thread-5 | Generation no: 2
23:56:54.632 [Thread-8] INFO  algoGenetico.PopulationEvo - Thread: Thread-8 | Generation no: 7
