14:34:00.116 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 15 | Alien X: 146 | Alien Y: 5
14:34:00.116 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -3 | Alien X: 164 | Alien Y: 5
14:34:00.116 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -21 | Alien X: 182 | Alien Y: 5
14:34:00.116 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -39 | Alien X: 200 | Alien Y: 5
14:34:00.117 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -57 | Alien X: 218 | Alien Y: 5
14:34:00.117 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -75 | Alien X: 236 | Alien Y: 5
14:34:00.117 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 15 | Alien X: 146 | Alien Y: 23
14:34:00.117 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -3 | Alien X: 164 | Alien Y: 23
14:34:00.117 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -21 | Alien X: 182 | Alien Y: 23
14:34:00.117 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -39 | Alien X: 200 | Alien Y: 23
14:34:00.118 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -57 | Alien X: 218 | Alien Y: 23
14:34:00.118 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -75 | Alien X: 236 | Alien Y: 23
14:34:00.118 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 15 | Alien X: 146 | Alien Y: 41
14:34:00.118 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -3 | Alien X: 164 | Alien Y: 41
14:34:00.118 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -21 | Alien X: 182 | Alien Y: 41
14:34:00.118 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -39 | Alien X: 200 | Alien Y: 41
14:34:00.119 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -57 | Alien X: 218 | Alien Y: 41
14:34:00.119 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -75 | Alien X: 236 | Alien Y: 41
14:34:00.131 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 16 | Alien X: 145 | Alien Y: 5
14:34:00.132 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -2 | Alien X: 163 | Alien Y: 5
14:34:00.132 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -20 | Alien X: 181 | Alien Y: 5
14:34:00.132 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -38 | Alien X: 199 | Alien Y: 5
14:34:00.133 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -56 | Alien X: 217 | Alien Y: 5
14:34:00.133 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -74 | Alien X: 235 | Alien Y: 5
14:34:00.133 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 16 | Alien X: 145 | Alien Y: 23
14:34:00.134 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -2 | Alien X: 163 | Alien Y: 23
14:34:00.134 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -20 | Alien X: 181 | Alien Y: 23
14:34:00.134 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -38 | Alien X: 199 | Alien Y: 23
14:34:00.135 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -56 | Alien X: 217 | Alien Y: 23
14:34:00.135 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -74 | Alien X: 235 | Alien Y: 23
14:34:00.135 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 16 | Alien X: 145 | Alien Y: 41
14:34:00.135 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -2 | Alien X: 163 | Alien Y: 41
14:34:00.136 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -20 | Alien X: 181 | Alien Y: 41
14:34:00.137 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -38 | Alien X: 199 | Alien Y: 41
14:34:00.137 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -56 | Alien X: 217 | Alien Y: 41
14:34:00.137 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -74 | Alien X: 235 | Alien Y: 41
14:34:00.147 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 17 | Alien X: 144 | Alien Y: 5
14:34:00.148 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -1 | Alien X: 162 | Alien Y: 5
14:34:00.148 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -19 | Alien X: 180 | Alien Y: 5
14:34:00.148 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -37 | Alien X: 198 | Alien Y: 5
14:34:00.149 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -55 | Alien X: 216 | Alien Y: 5
14:34:00.149 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -73 | Alien X: 234 | Alien Y: 5
14:34:00.149 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 17 | Alien X: 144 | Alien Y: 23
14:34:00.149 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -1 | Alien X: 162 | Alien Y: 23
14:34:00.149 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -19 | Alien X: 180 | Alien Y: 23
14:34:00.149 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -37 | Alien X: 198 | Alien Y: 23
14:34:00.150 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -55 | Alien X: 216 | Alien Y: 23
14:34:00.150 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -73 | Alien X: 234 | Alien Y: 23
14:34:00.150 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 17 | Alien X: 144 | Alien Y: 41
14:34:00.151 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -1 | Alien X: 162 | Alien Y: 41
14:34:00.151 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -19 | Alien X: 180 | Alien Y: 41
14:34:00.151 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -37 | Alien X: 198 | Alien Y: 41
14:34:00.151 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -55 | Alien X: 216 | Alien Y: 41
14:34:00.151 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -73 | Alien X: 234 | Alien Y: 41
14:34:00.161 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 18 | Alien X: 143 | Alien Y: 5
14:34:00.162 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 0 | Alien X: 161 | Alien Y: 5
14:34:00.162 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -18 | Alien X: 179 | Alien Y: 5
14:34:00.162 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -36 | Alien X: 197 | Alien Y: 5
14:34:00.162 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -54 | Alien X: 215 | Alien Y: 5
14:34:00.162 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -72 | Alien X: 233 | Alien Y: 5
14:34:00.163 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 18 | Alien X: 143 | Alien Y: 23
14:34:00.163 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 0 | Alien X: 161 | Alien Y: 23
14:34:00.163 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -18 | Alien X: 179 | Alien Y: 23
14:34:00.163 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -36 | Alien X: 197 | Alien Y: 23
14:34:00.164 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -54 | Alien X: 215 | Alien Y: 23
14:34:00.164 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -72 | Alien X: 233 | Alien Y: 23
14:34:00.164 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 18 | Alien X: 143 | Alien Y: 41
14:34:00.164 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 0 | Alien X: 161 | Alien Y: 41
14:34:00.164 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -18 | Alien X: 179 | Alien Y: 41
14:34:00.164 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -36 | Alien X: 197 | Alien Y: 41
14:34:00.164 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -54 | Alien X: 215 | Alien Y: 41
14:34:00.165 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -72 | Alien X: 233 | Alien Y: 41
14:34:00.176 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 19 | Alien X: 142 | Alien Y: 5
14:34:00.177 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 1 | Alien X: 160 | Alien Y: 5
14:34:00.177 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -17 | Alien X: 178 | Alien Y: 5
14:34:00.178 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -35 | Alien X: 196 | Alien Y: 5
14:34:00.178 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -53 | Alien X: 214 | Alien Y: 5
14:34:00.178 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -71 | Alien X: 232 | Alien Y: 5
14:34:00.178 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 19 | Alien X: 142 | Alien Y: 23
14:34:00.178 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 1 | Alien X: 160 | Alien Y: 23
14:34:00.179 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -17 | Alien X: 178 | Alien Y: 23
14:34:00.179 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -35 | Alien X: 196 | Alien Y: 23
14:34:00.179 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -53 | Alien X: 214 | Alien Y: 23
14:34:00.179 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -71 | Alien X: 232 | Alien Y: 23
14:34:00.179 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 19 | Alien X: 142 | Alien Y: 41
14:34:00.179 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 1 | Alien X: 160 | Alien Y: 41
14:34:00.180 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -17 | Alien X: 178 | Alien Y: 41
14:34:00.180 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -35 | Alien X: 196 | Alien Y: 41
14:34:00.180 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -53 | Alien X: 214 | Alien Y: 41
14:34:00.180 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -71 | Alien X: 232 | Alien Y: 41
14:34:00.192 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 20 | Alien X: 141 | Alien Y: 5
14:34:00.193 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 2 | Alien X: 159 | Alien Y: 5
14:34:00.193 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -16 | Alien X: 177 | Alien Y: 5
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -34 | Alien X: 195 | Alien Y: 5
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -52 | Alien X: 213 | Alien Y: 5
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -70 | Alien X: 231 | Alien Y: 5
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 20 | Alien X: 141 | Alien Y: 23
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 2 | Alien X: 159 | Alien Y: 23
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -16 | Alien X: 177 | Alien Y: 23
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -34 | Alien X: 195 | Alien Y: 23
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -52 | Alien X: 213 | Alien Y: 23
14:34:00.194 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -70 | Alien X: 231 | Alien Y: 23
14:34:00.195 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 20 | Alien X: 141 | Alien Y: 41
14:34:00.195 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 2 | Alien X: 159 | Alien Y: 41
14:34:00.195 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -16 | Alien X: 177 | Alien Y: 41
14:34:00.195 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -34 | Alien X: 195 | Alien Y: 41
14:34:00.195 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -52 | Alien X: 213 | Alien Y: 41
14:34:00.195 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: -70 | Alien X: 231 | Alien Y: 41
14:34:00.208 [AWT-EventQueue-0] DEBUG space.Board - Distance from center: 21 | Alien X: 140 | Alien Y: 5
