21:27:23.670 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 52680.0
21:27:23.672 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 43641.0
21:27:23.672 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 41697.0
21:27:23.672 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 41280.0
21:27:23.672 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 33641.0
21:27:23.672 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31510.0
21:27:23.672 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31492.0
21:27:23.672 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30835.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.673 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:27:23.674 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
