21:12:16.910 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 53641.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 41697.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 41697.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 40824.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 33641.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 32138.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31697.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31697.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31492.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 31056.0
21:12:16.911 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.912 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.913 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30580.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 23641.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21910.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21910.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21856.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21697.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21697.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21697.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21697.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21510.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21492.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21056.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21056.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21056.0
21:12:16.914 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21056.0
21:12:16.915 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21038.0
21:12:16.915 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21038.0
21:12:16.915 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 21038.0
21:12:16.915 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20831.0
21:12:16.915 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
21:12:16.915 [main] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20580.0
