20:09:21.843 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 30544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 20544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 13641.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 10544.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.845 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.846 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.847 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.848 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.849 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 3641.0
20:09:21.849 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 2793.0
20:09:21.849 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 2616.0
20:09:21.849 [AWT-EventQueue-0] INFO  algoGenetico.PopulationEvo - Inicial Fitness: 1740.0
